x,y,z
0.20978187868959608,-0.03244829705265779,0.10676379684920045
0.20978187868959608,-0.03244829705265779,0.10676379684920045
0.20978187868959608,-0.03244829705265779,0.10676379684920045
0.20978676374961894,-0.03245025724960819,0.10676610689287902
0.20978426631157868,-0.032450796512808223,0.10676509530171066
0.20975823889883716,-0.03245571501642412,0.10675655004939366
0.20975579541613829,-0.03245552494086212,0.10675480518962874
0.20975262314275725,-0.03245686637478947,0.10675281125404351
0.20969328912672458,-0.03247549619649731,0.10673037551807624
0.20961475741388916,-0.0325009751938083,0.10669861392281038
0.20949276878154705,-0.03253620728031531,0.10664939443837806
0.2092211603577378,-0.032608125692158985,0.1065331653373465
0.2089680231389458,-0.03267730300754189,0.10645254929365816
0.20881664758971666,-0.03274491798994581,0.10650257048752193
0.20875552496434022,-0.03294058206001547,0.10655283077490596
0.2085105702359766,-0.0331386713619574,0.10659412830127873
0.20839844815237332,-0.033289520878352616,0.10662542685064125
0.2083051523729307,-0.03348115710634343,0.1066407123739585
0.20825408286202868,-0.033569611534175446,0.10672141944494204
0.2081288231710022,-0.0337212582429931,0.10672851143527967
0.2078827468843195,-0.03401335757173728,0.10665949670635688
0.20781136757262986,-0.034252644453258055,0.1066562328741538
0.20766475451046598,-0.0343808072189697,0.10668187163840478
0.20755853498084104,-0.034639659651532304,0.10668879241714019
0.20752788121861201,-0.034818649510915456,0.10669422275284773
0.20756248862042007,-0.03514524609016879,0.10675474712470312
0.20756248862042007,-0.03514524609016879,0.10675474712470312
0.20768783595332707,-0.035488734272928854,0.1068372614629626
0.20764875207904168,-0.035664329179825004,0.10682096126984447
0.20752618764744465,-0.03611870333946106,0.10671576699150712
0.20786360638762402,-0.03634724258946928,0.10679920543219612
0.20784344191844956,-0.03656044132905411,0.10674428556668714
0.2076791986625936,-0.03664470890392324,0.10668048486039641
0.20825469421810192,-0.03677955151408501,0.10686183904216115
0.20833295985604497,-0.03708681559431556,0.10680604329388449
0.20843493915220798,-0.03729390790969723,0.10673900167593806
0.20854043499752875,-0.037490488889479735,0.10674296860253935
0.2087749394843773,-0.037799130611512986,0.10686060614318962
0.20873424420995862,-0.03790517679572396,0.10685577142219857
0.20872396739110993,-0.03806344306428993,0.10685776818779258
0.20871514982221884,-0.03817905415631242,0.10686085343957885
0.20865384134601453,-0.038342184927478644,0.10684657940415837
0.20862110829302036,-0.03857166684924746,0.1068459268478274
0.20859306827971213,-0.03866750519820526,0.10684315004313374
0.2085542824215626,-0.03883388393943395,0.10683857701810368
0.20826253319639013,-0.0395207416879477,0.10680850823519186
0.20826253319639013,-0.0395207416879477,0.10680850823519186
0.20814932513504472,-0.03978758183765064,0.10690667550056165
0.20822020510142594,-0.039944807771861275,0.10710269993849081
0.2079498367966839,-0.04045306751127244,0.10713661776044539
0.2074722857199695,-0.04062343396806219,0.10702243350960841
