timestamp,x,y,z,theta_x,theta_y,theta_z
1779613811.4706488,0.20170246064662933,-0.07328902184963226,0.2473718822002411,1.0528373718261719,178.22494506835938,81.80797576904297
1779613811.494552,0.2017008662223816,-0.07329048961400986,0.24737192690372467,1.0523641109466553,178.22496032714844,81.80668640136719
1779613811.5193567,0.20169851183891296,-0.07329396158456802,0.24737107753753662,1.0521491765975952,178.2251434326172,81.8058853149414
1779613811.5454075,0.2017018347978592,-0.07328847795724869,0.24736951291561127,1.052415370941162,178.22471618652344,81.80672454833984
1779613811.5702467,0.20170198380947113,-0.07328997552394867,0.24737133085727692,1.052433729171753,178.2249755859375,81.80747985839844
1779613811.5961509,0.20170028507709503,-0.07329005002975464,0.24736979603767395,1.0522651672363281,178.22512817382812,81.80656433105469
1779613811.6201766,0.2017015814781189,-0.07329142838716507,0.247372105717659,1.0528674125671387,178.22494506835938,81.8068618774414
1779613811.6448295,0.20169025659561157,-0.07328919321298599,0.2473624348640442,1.0505214929580688,178.22425842285156,81.80608367919922
1779613811.671267,0.2017020881175995,-0.07330170273780823,0.24737702310085297,1.0533208847045898,178.2274169921875,81.80790710449219
1779613811.694051,0.2017010748386383,-0.07329543679952621,0.2473708987236023,1.053421139717102,178.2255096435547,81.80715942382812
1779613811.7193513,0.20169882476329803,-0.07329174876213074,0.24736812710762024,1.052552342414856,178.22557067871094,81.80789947509766
1779613811.7449553,0.20169934630393982,-0.07329442352056503,0.2473696619272232,1.0526763200759888,178.22532653808594,81.8060531616211
1779613811.769787,0.20169907808303833,-0.07330024987459183,0.2473711222410202,1.0534119606018066,178.22634887695312,81.80665588378906
1779613811.7964125,0.2017015665769577,-0.0732949823141098,0.24737116694450378,1.0537528991699219,178.2254638671875,81.80707550048828
1779613811.8198705,0.2017029970884323,-0.07329361885786057,0.24737052619457245,1.0540207624435425,178.22483825683594,81.80608367919922
1779613811.8463693,0.20170436799526215,-0.07329340279102325,0.2473718225955963,1.054386854171753,178.22439575195312,81.80581665039062
1779613811.8709989,0.2016921043395996,-0.07329393923282623,0.24736739695072174,1.0516431331634521,178.2254180908203,81.8066635131836
